id_book,title,link_book
57,Anh chàng xấu tính - Blue An Kì Nhi,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/687-anh-chang-xau-tinh.html
58,Ai là của ai -  Thuần Vu Lưu Lạc,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/685-ai-la-cua-ai.html
59,Ai hiểu được lòng em - Lục Xu,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/684-ai-hieu-duoc-long-em.html
60,Ai còn chờ ai giữa mùa hoa nở - Sói xám mọc cánh,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/683-ai-con-cho-ai-giua-mua-hoa-no.html
61,Ác ma - Liên Liên,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/682-ac-ma.html
62,"Chết, sập bẫy rồi - KingKong Barbie",https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/681-chet-sap-bay-roi.html
63,Anh trai em gái - Tảo Đình,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/680-anh-trai-em-gai.html
64,Ngược chiều kim đồng hồ - Zuzulinh,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/679-nguoc-chieu-kim-dong-ho.html
65,Cô là dân chơi hả? - Vitconxauxi1995ct,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/678-co-la-dan-choi-ha.html
66,Shock tình - Kawi,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/677-shock-tinh.html
67,Hoa vô lệ - Suly,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/676-hoa-vo-le.html
68,Yêu phải người tình một đêm - Kim Huyên,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/675-yeu-phai-nguoi-tinh-mot-dem.html
69,Gửi người tôi yêu - Vũ Hoa,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/673-gui-nguoi-toi-yeu.html
70,99 khoảnh khắc đời người - Zhang Zi Wen,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/672-99-khoanh-khac-doi-nguoi.html
71,Như một cơn gió lạ - Mẫn,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/671-nhu-mot-con-gio-la.html
72,Vẫn mơ về em - Hỗng Cửu,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/669-van-mo-ve-em.html
73,Từng có một người yêu tôi như sinh mệnh - Thư Nghi,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/668-tung-co-nguoi-yeu-toi-nhu-sinh-menh.html
74,Tôi và bạn trai kinh tế - Nhân Hải Trung,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/667-toi-va-ban-trai-kinh-te.html
75,Tốt nghiệp rồi kết hôn thôi - Thuấn Gian Khuynh Thành,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/666-tot-nghiep-roi-ket-hon-thoi.html
76,Từ sao hỏa đến La Mã - Tiểu Hài Tử ngươi lại đây,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/665-tu-sao-hoa-den-la-ma.html
77,Thục nữ PK xã hội đen - Thuấn Gian Khuynh Thành,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/664-thuc-nu-pk-xa-hoi-den.html
78,Quyết ý đi cùng anh - Mộc Phạn,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/661-quyet-y-di-cung-anh.html
79,"Ngoan, anh yêu em - Orange Quất Tử",https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/658-ngoan-anh-yeu-em.html
80,Lấy nhầm tổng tài lãnh khốc - Ngạn Thiến,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/657-lay-nham-tong-tai-lanh-khoc.html
81,Cô nàng Hotboy - Ngải Khải Lạc,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/656-co-nang-hotboy.html
82,Mưa nhỏ hồng trần - Trang Trang,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/655-mua-nho-hong-tran.html
83,Yêu đôi môi em - Mộc Khinh Yên,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/654-yeu-doi-moi-em.html
84,"Xin chào, chàng trai của tôi - Mạn Mạn Hồng Đường Thủy",https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/653-xin-chao-chang-trai-cua-toi.html
85,Những ngày đợi nắng - Quái Vương,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/651-nhung-ngay-doi-nang.html
86,Bóng dáng người hầu - Lê Tiêm,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/649-bong-dang-nguoi-hau.html
87,Khi yêu ai cũng liêu xiêu - Lại Bảo,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/646-khi-yeu-ai-cung-lieu-xieu.html
88,Kế hoạch mai mối - Mèo Lười Ngủ ngày,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/645-ke-hoach-mai-moi.html
89,Hứa trao em kim ngọc lương duyên - Hoan Hà,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/644-hua-trao-em-kim-ngoc-luong-duyen.html
90,Lãnh thiếu truy thê - Hoa Điền Bắc,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/643-lanh-thieu-truy-the.html
91,Hôn nhân đã qua - Hân Hân Hướng Vinh,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/642-hon-nhan-da-qua.html
92,Hãy chờ em đánh răng xong nhé - Hồng Cửu,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/641-hay-cho-em-danh-rang-xong-nhe.html
93,"Gấu ơi, giúp anh - Lam Tiểu Mị",https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/639-gau-oi-giup-anh.html
94,Gấm rách - Phỉ Ngã Tư Tồn,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/638-gam-rach.html
95,Căn phòng nhung nhớ - Minh Tiền Vũ Hậu,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/636-can-phong-nhung-nho.html
96,Thích - Cảnh Hành,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/632-thich.html
97,Búp bê khiêu vũ với ai? - Thủy Thiên Mặc,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/631-bup-be-khieu-vu-voi-ai.html
98,"Boss đen tối, đừng chạy! - Mèo Lười ngủ nướng",https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/630-boss-den-toi-dung-chay.html
99,Bao giờ trăng lại tròn - Nguyệt Như Tích,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/628-bao-gio-trang-lai-tron.html
100,Mê trước cưới sau - An Tư Nguyên,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/626-me-truoc-cuoi-sau.html
101,Ánh sáng thành phố - Lôi Mễ,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/625-anh-sang-thanh-pho.html
102,Chỉ có thể là yêu - Hân Như ,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/623-chi-co-the-la-yeu.html
103,Người vợ thay thế - Ngạn Thiến,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/621-nguoi-vo-thay-the.html
104,Ngã rẽ đi về phía anh - An Nhiên,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/617-nga-re-di-ve-phia-anh.html
105,Người giám hộ ưu tú - Trinh tử,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/605-nguoi-giam-ho-trinh-tu.html
106,Triền miên - Công Khắc,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/603-trien-mien.html
107,Người tình của đại ca - Tiểu Ngôn,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/602-nguoi-tinh-cua-dai-ca.html
108,Nguyện yêu em lần nữa - Súp lơ leng keng,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/601-nguyen-yeu-em-lan-nua.html
